File,Class,focus on portability and ease of handling,mentions hardware upgradeability,focus on software or app usage,mentions specific hardware components,mentions power or battery life,mentions usage environment or required setup,repetition of content,level of abstraction in description,mentions device form factor,intended usage context implied,raw_llm_output
computer1.csv__row_0,computer,focus on portability and ease of handling = does not mention portability,mentions hardware upgradeability = no upgradeability mentioned,focus on software or app usage = no mention of apps or software,mentions specific hardware components = mentions specific hardware components,mentions power or battery life = no mention of battery life,mentions usage environment or required setup = mentions usage environment/setup,repetition of content = no repeated text,level of abstraction in description = concrete/technical description,mentions device form factor = does not mention form factor,intended usage context implied = implies stationary/desktop use,"{""focus on portability and ease of handling"": ""does not mention portability"", ""mentions hardware upgradeability"": ""no upgradeability mentioned"", ""focus on software or app usage"": ""no mention of apps or software"", ""mentions specific hardware components"": ""mentions specific hardware components"", ""mentions power or battery life"": ""no mention of battery life"", ""mentions usage environment or required setup"": ""mentions usage environment/setup"", ""repetition of content"": ""no repeated text"", ""level of abstraction in description"": ""concrete/technical description"", ""mentions device form factor"": ""does not mention form factor"", ""intended usage context implied"": ""implies stationary/desktop use""}"
computer1.csv__row_1,computer,focus on portability and ease of handling = does not mention portability,mentions hardware upgradeability = no upgradeability mentioned,focus on software or app usage = no mention of apps or software,mentions specific hardware components = does not mention specific hardware components,mentions power or battery life = no mention of battery life,mentions usage environment or required setup = no mention of usage environment/setup,repetition of content = no repeated text,level of abstraction in description = abstract/general description,mentions device form factor = does not mention form factor,intended usage context implied = not observable,"{""focus on portability and ease of handling"": ""does not mention portability"", ""mentions hardware upgradeability"": ""no upgradeability mentioned"", ""focus on software or app usage"": ""no mention of apps or software"", ""mentions specific hardware components"": ""does not mention specific hardware components"", ""mentions power or battery life"": ""no mention of battery life"", ""mentions usage environment or required setup"": ""no mention of usage environment/setup"", ""repetition of content"": ""no repeated text"", ""level of abstraction in description"": ""abstract/general description"", ""mentions device form factor"": ""does not mention form factor"", ""intended usage context implied"": ""not observable""}"
computer1.csv__row_2,computer,focus on portability and ease of handling = does not mention portability,mentions hardware upgradeability = no upgradeability mentioned,focus on software or app usage = no mention of apps or software,mentions specific hardware components = does not mention specific hardware components,mentions power or battery life = mentions power requirement,mentions usage environment or required setup = mentions usage environment/setup,repetition of content = no repeated text,level of abstraction in description = concrete/technical description,mentions device form factor = does not mention form factor,intended usage context implied = implies stationary/desktop use,"{""focus on portability and ease of handling"": ""does not mention portability"", ""mentions hardware upgradeability"": ""no upgradeability mentioned"", ""focus on software or app usage"": ""no mention of apps or software"", ""mentions specific hardware components"": ""does not mention specific hardware components"", ""mentions power or battery life"": ""mentions power requirement"", ""mentions usage environment or required setup"": ""mentions usage environment/setup"", ""repetition of content"": ""no repeated text"", ""level of abstraction in description"": ""concrete/technical description"", ""mentions device form factor"": ""does not mention form factor"", ""intended usage context implied"": ""implies stationary/desktop use""}"
computer2.csv__row_0,computer,focus on portability and ease of handling = does not mention portability,mentions hardware upgradeability = no upgradeability mentioned,focus on software or app usage = no mention of apps or software,mentions specific hardware components = mentions specific hardware components,mentions power or battery life = no mention of battery life,mentions usage environment or required setup = no mention of usage environment/setup,repetition of content = no repeated text,level of abstraction in description = concrete/technical description,mentions device form factor = does not mention form factor,intended usage context implied = implies stationary/desktop use,"{""focus on portability and ease of handling"": ""does not mention portability"", ""mentions hardware upgradeability"": ""no upgradeability mentioned"", ""focus on software or app usage"": ""no mention of apps or software"", ""mentions specific hardware components"": ""mentions specific hardware components"", ""mentions power or battery life"": ""no mention of battery life"", ""mentions usage environment or required setup"": ""no mention of usage environment/setup"", ""repetition of content"": ""no repeated text"", ""level of abstraction in description"": ""concrete/technical description"", ""mentions device form factor"": ""does not mention form factor"", ""intended usage context implied"": ""implies stationary/desktop use""}"
computer2.csv__row_1,computer,focus on portability and ease of handling = does not mention portability,mentions hardware upgradeability = no upgradeability mentioned,focus on software or app usage = no mention of apps or software,mentions specific hardware components = does not mention specific hardware components,mentions power or battery life = no mention of battery life,mentions usage environment or required setup = no mention of usage environment/setup,repetition of content = no repeated text,level of abstraction in description = abstract/general description,mentions device form factor = does not mention form factor,intended usage context implied = implies stationary/desktop use,"{""focus on portability and ease of handling"": ""does not mention portability"", ""mentions hardware upgradeability"": ""no upgradeability mentioned"", ""focus on software or app usage"": ""no mention of apps or software"", ""mentions specific hardware components"": ""does not mention specific hardware components"", ""mentions power or battery life"": ""no mention of battery life"", ""mentions usage environment or required setup"": ""no mention of usage environment/setup"", ""repetition of content"": ""no repeated text"", ""level of abstraction in description"": ""abstract/general description"", ""mentions device form factor"": ""does not mention form factor"", ""intended usage context implied"": ""implies stationary/desktop use""}"
computer2.csv__row_2,computer,focus on portability and ease of handling = not observable,mentions hardware upgradeability = no upgradeability mentioned,focus on software or app usage = no mention of apps or software,mentions specific hardware components = mentions cooling fan,mentions power or battery life = no mention of battery life,mentions usage environment or required setup = no mention of usage environment/setup,repetition of content = no repeated text,level of abstraction in description = concrete/technical description,mentions device form factor = does not mention form factor,intended usage context implied = not observable,"{""focus on portability and ease of handling"": ""not observable"", ""mentions hardware upgradeability"": ""no upgradeability mentioned"", ""focus on software or app usage"": ""no mention of apps or software"", ""mentions specific hardware components"": ""mentions cooling fan"", ""mentions power or battery life"": ""no mention of battery life"", ""mentions usage environment or required setup"": ""no mention of usage environment/setup"", ""repetition of content"": ""no repeated text"", ""level of abstraction in description"": ""concrete/technical description"", ""mentions device form factor"": ""does not mention form factor"", ""intended usage context implied"": ""not observable""}"
computer3.csv__row_0,computer,focus on portability and ease of handling = does not mention portability,mentions hardware upgradeability = no upgradeability mentioned,focus on software or app usage = no mention of apps or software,mentions specific hardware components = mentions specific hardware components,mentions power or battery life = no mention of battery life,mentions usage environment or required setup = no mention of usage environment/setup,repetition of content = no repeated text,level of abstraction in description = concrete/technical description,mentions device form factor = does not mention form factor,intended usage context implied = implies stationary/desktop use,"{""focus on portability and ease of handling"": ""does not mention portability"", ""mentions hardware upgradeability"": ""no upgradeability mentioned"", ""focus on software or app usage"": ""no mention of apps or software"", ""mentions specific hardware components"": ""mentions specific hardware components"", ""mentions power or battery life"": ""no mention of battery life"", ""mentions usage environment or required setup"": ""no mention of usage environment/setup"", ""repetition of content"": ""no repeated text"", ""level of abstraction in description"": ""concrete/technical description"", ""mentions device form factor"": ""does not mention form factor"", ""intended usage context implied"": ""implies stationary/desktop use""}"
computer3.csv__row_1,computer,focus on portability and ease of handling = does not mention portability,mentions hardware upgradeability = no upgradeability mentioned,focus on software or app usage = no mention of apps or software,mentions specific hardware components = does not mention specific hardware components,mentions power or battery life = no mention of battery life,mentions usage environment or required setup = no mention of usage environment/setup,repetition of content = no repeated text,level of abstraction in description = abstract/general description,mentions device form factor = does not mention form factor,intended usage context implied = not observable,"{""focus on portability and ease of handling"": ""does not mention portability"", ""mentions hardware upgradeability"": ""no upgradeability mentioned"", ""focus on software or app usage"": ""no mention of apps or software"", ""mentions specific hardware components"": ""does not mention specific hardware components"", ""mentions power or battery life"": ""no mention of battery life"", ""mentions usage environment or required setup"": ""no mention of usage environment/setup"", ""repetition of content"": ""no repeated text"", ""level of abstraction in description"": ""abstract/general description"", ""mentions device form factor"": ""does not mention form factor"", ""intended usage context implied"": ""not observable""}"
computer3.csv__row_2,computer,focus on portability and ease of handling = does not mention portability,mentions hardware upgradeability = no upgradeability mentioned,focus on software or app usage = no mention of apps or software,mentions specific hardware components = does not mention specific hardware components,mentions power or battery life = no mention of battery life,mentions usage environment or required setup = no mention of usage environment/setup,repetition of content = no repeated text,level of abstraction in description = abstract/general description,mentions device form factor = does not mention form factor,intended usage context implied = implies stationary/desktop use,"{""focus on portability and ease of handling"": ""does not mention portability"", ""mentions hardware upgradeability"": ""no upgradeability mentioned"", ""focus on software or app usage"": ""no mention of apps or software"", ""mentions specific hardware components"": ""does not mention specific hardware components"", ""mentions power or battery life"": ""no mention of battery life"", ""mentions usage environment or required setup"": ""no mention of usage environment/setup"", ""repetition of content"": ""no repeated text"", ""level of abstraction in description"": ""abstract/general description"", ""mentions device form factor"": ""does not mention form factor"", ""intended usage context implied"": ""implies stationary/desktop use""}"
computer4.csv__row_0,computer,focus on portability and ease of handling = does not mention portability,mentions hardware upgradeability = no upgradeability mentioned,focus on software or app usage = mentions apps or software,mentions specific hardware components = does not mention specific hardware components,mentions power or battery life = no mention of battery life,mentions usage environment or required setup = no mention of usage environment/setup,repetition of content = no repeated text,level of abstraction in description = abstract/general description,mentions device form factor = does not mention form factor,intended usage context implied = not observable,"{""focus on portability and ease of handling"": ""does not mention portability"", ""mentions hardware upgradeability"": ""no upgradeability mentioned"", ""focus on software or app usage"": ""mentions apps or software"", ""mentions specific hardware components"": ""does not mention specific hardware components"", ""mentions power or battery life"": ""no mention of battery life"", ""mentions usage environment or required setup"": ""no mention of usage environment/setup"", ""repetition of content"": ""no repeated text"", ""level of abstraction in description"": ""abstract/general description"", ""mentions device form factor"": ""does not mention form factor"", ""intended usage context implied"": ""not observable""}"
computer4.csv__row_1,computer,focus on portability and ease of handling = does not mention portability,mentions hardware upgradeability = no upgradeability mentioned,focus on software or app usage = no mention of apps or software,mentions specific hardware components = does not mention specific hardware components,mentions power or battery life = no mention of battery life,mentions usage environment or required setup = mentions usage environment/setup,repetition of content = no repeated text,level of abstraction in description = abstract/general description,mentions device form factor = does not mention form factor,intended usage context implied = implies stationary/desktop use,"{""focus on portability and ease of handling"": ""does not mention portability"", ""mentions hardware upgradeability"": ""no upgradeability mentioned"", ""focus on software or app usage"": ""no mention of apps or software"", ""mentions specific hardware components"": ""does not mention specific hardware components"", ""mentions power or battery life"": ""no mention of battery life"", ""mentions usage environment or required setup"": ""mentions usage environment/setup"", ""repetition of content"": ""no repeated text"", ""level of abstraction in description"": ""abstract/general description"", ""mentions device form factor"": ""does not mention form factor"", ""intended usage context implied"": ""implies stationary/desktop use""}"
computer4.csv__row_2,computer,focus on portability and ease of handling = does not mention portability,mentions hardware upgradeability = upgradeable hardware mentioned,focus on software or app usage = no mention of apps or software,mentions specific hardware components = does not mention specific hardware components,mentions power or battery life = no mention of battery life,mentions usage environment or required setup = no mention of usage environment/setup,repetition of content = no repeated text,level of abstraction in description = concrete/technical description,mentions device form factor = does not mention form factor,intended usage context implied = not observable,"{""focus on portability and ease of handling"": ""does not mention portability"", ""mentions hardware upgradeability"": ""upgradeable hardware mentioned"", ""focus on software or app usage"": ""no mention of apps or software"", ""mentions specific hardware components"": ""does not mention specific hardware components"", ""mentions power or battery life"": ""no mention of battery life"", ""mentions usage environment or required setup"": ""no mention of usage environment/setup"", ""repetition of content"": ""no repeated text"", ""level of abstraction in description"": ""concrete/technical description"", ""mentions device form factor"": ""does not mention form factor"", ""intended usage context implied"": ""not observable""}"
computer5.csv__row_0,computer,focus on portability and ease of handling = does not mention portability,mentions hardware upgradeability = no upgradeability mentioned,focus on software or app usage = no mention of apps or software,mentions specific hardware components = mentions specific hardware components,mentions power or battery life = no mention of battery life,mentions usage environment or required setup = no mention of usage environment/setup,repetition of content = no repeated text,level of abstraction in description = concrete/technical description,mentions device form factor = does not mention form factor,intended usage context implied = not observable,"{""focus on portability and ease of handling"": ""does not mention portability"", ""mentions hardware upgradeability"": ""no upgradeability mentioned"", ""focus on software or app usage"": ""no mention of apps or software"", ""mentions specific hardware components"": ""mentions specific hardware components"", ""mentions power or battery life"": ""no mention of battery life"", ""mentions usage environment or required setup"": ""no mention of usage environment/setup"", ""repetition of content"": ""no repeated text"", ""level of abstraction in description"": ""concrete/technical description"", ""mentions device form factor"": ""does not mention form factor"", ""intended usage context implied"": ""not observable""}"
computer5.csv__row_1,computer,focus on portability and ease of handling = does not mention portability,mentions hardware upgradeability = no upgradeability mentioned,focus on software or app usage = no mention of apps or software,mentions specific hardware components = does not mention specific hardware components,mentions power or battery life = no mention of battery life,mentions usage environment or required setup = no mention of usage environment/setup,repetition of content = no repeated text,level of abstraction in description = concrete/technical description,mentions device form factor = does not mention form factor,intended usage context implied = not observable,"{""focus on portability and ease of handling"": ""does not mention portability"", ""mentions hardware upgradeability"": ""no upgradeability mentioned"", ""focus on software or app usage"": ""no mention of apps or software"", ""mentions specific hardware components"": ""does not mention specific hardware components"", ""mentions power or battery life"": ""no mention of battery life"", ""mentions usage environment or required setup"": ""no mention of usage environment/setup"", ""repetition of content"": ""no repeated text"", ""level of abstraction in description"": ""concrete/technical description"", ""mentions device form factor"": ""does not mention form factor"", ""intended usage context implied"": ""not observable""}"
computer5.csv__row_2,computer,focus on portability and ease of handling = mentions portability,mentions hardware upgradeability = no upgradeability mentioned,focus on software or app usage = no mention of apps or software,mentions specific hardware components = does not mention specific hardware components,mentions power or battery life = mentions battery life,mentions usage environment or required setup = no mention of usage environment/setup,repetition of content = no repeated text,level of abstraction in description = abstract/general description,mentions device form factor = does not mention form factor,intended usage context implied = implies mobile/handheld use,"{""focus on portability and ease of handling"": ""mentions portability"", ""mentions hardware upgradeability"": ""no upgradeability mentioned"", ""focus on software or app usage"": ""no mention of apps or software"", ""mentions specific hardware components"": ""does not mention specific hardware components"", ""mentions power or battery life"": ""mentions battery life"", ""mentions usage environment or required setup"": ""no mention of usage environment/setup"", ""repetition of content"": ""no repeated text"", ""level of abstraction in description"": ""abstract/general description"", ""mentions device form factor"": ""does not mention form factor"", ""intended usage context implied"": ""implies mobile/handheld use""}"
