File,Class,presence_of_liquid_content,material_texture,decorative_elements,context_of_use,shape_complexity,color_tone,visible_steam_or_heat_effects,presence_of_food_ingredients,vessel_opening_type,functional_vs_artistic_purpose,raw_llm_output
n04522168_1.JPEG,vase,presence_of_liquid_content = not visible,material_texture = glazed ceramic or stone,decorative_elements = decorated with patterns or sculptures,context_of_use = display or static setting,shape_complexity = complex shape with attachments,color_tone = uniform earthy/neutral tones,visible_steam_or_heat_effects = no steam or heat,presence_of_food_ingredients = no food ingredients,vessel_opening_type = narrow or decorative opening,functional_vs_artistic_purpose = artistic or ceremonial object,"{""presence_of_liquid_content"": ""not visible"", ""material_texture"": ""glazed ceramic or stone"", ""decorative_elements"": ""decorated with patterns or sculptures"", ""context_of_use"": ""display or static setting"", ""shape_complexity"": ""complex shape with attachments"", ""color_tone"": ""uniform earthy/neutral tones"", ""visible_steam_or_heat_effects"": ""no steam or heat"", ""presence_of_food_ingredients"": ""no food ingredients"", ""vessel_opening_type"": ""narrow or decorative opening"", ""functional_vs_artistic_purpose"": ""artistic or ceremonial object""}"
n04522168_100.JPEG,vase,presence_of_liquid_content = not visible,material_texture = glazed ceramic or stone,decorative_elements = decorated with patterns or sculptures,context_of_use = display or static setting,shape_complexity = complex shape with attachments,color_tone = uniform earthy/neutral tones,visible_steam_or_heat_effects = no steam or heat,presence_of_food_ingredients = no food ingredients,vessel_opening_type = narrow or decorative opening,functional_vs_artistic_purpose = artistic or ceremonial object,"{""presence_of_liquid_content"": ""not visible"", ""material_texture"": ""glazed ceramic or stone"", ""decorative_elements"": ""decorated with patterns or sculptures"", ""context_of_use"": ""display or static setting"", ""shape_complexity"": ""complex shape with attachments"", ""color_tone"": ""uniform earthy/neutral tones"", ""visible_steam_or_heat_effects"": ""no steam or heat"", ""presence_of_food_ingredients"": ""no food ingredients"", ""vessel_opening_type"": ""narrow or decorative opening"", ""functional_vs_artistic_purpose"": ""artistic or ceremonial object""}"
n04522168_123.JPEG,vase,presence_of_liquid_content = not visible,material_texture = glazed ceramic or stone,decorative_elements = plain or utilitarian,context_of_use = display or static setting,shape_complexity = complex shape with attachments,color_tone = uniform earthy/neutral tones,visible_steam_or_heat_effects = no steam or heat,presence_of_food_ingredients = no food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = artistic or ceremonial object,"{""presence_of_liquid_content"": ""not visible"", ""material_texture"": ""glazed ceramic or stone"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""display or static setting"", ""shape_complexity"": ""complex shape with attachments"", ""color_tone"": ""uniform earthy/neutral tones"", ""visible_steam_or_heat_effects"": ""no steam or heat"", ""presence_of_food_ingredients"": ""no food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""artistic or ceremonial object""}"
n04522168_134.JPEG,vase,presence_of_liquid_content = not visible,material_texture = glazed ceramic or stone,decorative_elements = decorated with patterns or sculptures,context_of_use = display or static setting,shape_complexity = complex shape with attachments,color_tone = uniform earthy/neutral tones,visible_steam_or_heat_effects = no steam or heat,presence_of_food_ingredients = no food ingredients,vessel_opening_type = narrow or decorative opening,functional_vs_artistic_purpose = artistic or ceremonial object,"{""features"": {""presence_of_liquid_content"": ""not visible"", ""material_texture"": ""glazed ceramic or stone"", ""decorative_elements"": ""decorated with patterns or sculptures"", ""context_of_use"": ""display or static setting"", ""shape_complexity"": ""complex shape with attachments"", ""color_tone"": ""uniform earthy/neutral tones"", ""visible_steam_or_heat_effects"": ""no steam or heat"", ""presence_of_food_ingredients"": ""no food ingredients"", ""vessel_opening_type"": ""narrow or decorative opening"", ""functional_vs_artistic_purpose"": ""artistic or ceremonial object""}}"
n04522168_154.JPEG,vase,presence_of_liquid_content = not visible,material_texture = glazed ceramic or stone,decorative_elements = decorated with patterns or sculptures,context_of_use = display or static setting,shape_complexity = complex shape with attachments,color_tone = uniform earthy/neutral tones,visible_steam_or_heat_effects = no steam or heat,presence_of_food_ingredients = no food ingredients,vessel_opening_type = narrow or decorative opening,functional_vs_artistic_purpose = artistic or ceremonial object,"{""presence_of_liquid_content"": ""not visible"", ""material_texture"": ""glazed ceramic or stone"", ""decorative_elements"": ""decorated with patterns or sculptures"", ""context_of_use"": ""display or static setting"", ""shape_complexity"": ""complex shape with attachments"", ""color_tone"": ""uniform earthy/neutral tones"", ""visible_steam_or_heat_effects"": ""no steam or heat"", ""presence_of_food_ingredients"": ""no food ingredients"", ""vessel_opening_type"": ""narrow or decorative opening"", ""functional_vs_artistic_purpose"": ""artistic or ceremonial object""}"
n04522168_192.JPEG,vase,presence_of_liquid_content = not visible,material_texture = glazed ceramic or stone,decorative_elements = plain or utilitarian,context_of_use = display or static setting,shape_complexity = simple open-top vessel,color_tone = uniform earthy/neutral tones,visible_steam_or_heat_effects = no steam or heat,presence_of_food_ingredients = no food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = artistic or ceremonial object,"{""presence_of_liquid_content"": ""not visible"", ""material_texture"": ""glazed ceramic or stone"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""display or static setting"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""uniform earthy/neutral tones"", ""visible_steam_or_heat_effects"": ""no steam or heat"", ""presence_of_food_ingredients"": ""no food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""artistic or ceremonial object""}"
n04522168_196.JPEG,vase,presence_of_liquid_content = not visible,material_texture = glazed ceramic or stone,decorative_elements = plain or utilitarian,context_of_use = display or static setting,shape_complexity = simple open-top vessel,color_tone = uniform earthy/neutral tones,visible_steam_or_heat_effects = no steam or heat,presence_of_food_ingredients = no food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = artistic or ceremonial object,"{""presence_of_liquid_content"": ""not visible"", ""material_texture"": ""glazed ceramic or stone"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""display or static setting"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""uniform earthy/neutral tones"", ""visible_steam_or_heat_effects"": ""no steam or heat"", ""presence_of_food_ingredients"": ""no food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""artistic or ceremonial object""}"
n04522168_197.JPEG,vase,presence_of_liquid_content = not visible,material_texture = glazed ceramic or stone,decorative_elements = decorated with patterns or sculptures,context_of_use = display or static setting,shape_complexity = complex shape with attachments,color_tone = uniform earthy/neutral tones,visible_steam_or_heat_effects = no steam or heat,presence_of_food_ingredients = no food ingredients,vessel_opening_type = narrow or decorative opening,functional_vs_artistic_purpose = artistic or ceremonial object,"{""presence_of_liquid_content"": ""not visible"", ""material_texture"": ""glazed ceramic or stone"", ""decorative_elements"": ""decorated with patterns or sculptures"", ""context_of_use"": ""display or static setting"", ""shape_complexity"": ""complex shape with attachments"", ""color_tone"": ""uniform earthy/neutral tones"", ""visible_steam_or_heat_effects"": ""no steam or heat"", ""presence_of_food_ingredients"": ""no food ingredients"", ""vessel_opening_type"": ""narrow or decorative opening"", ""functional_vs_artistic_purpose"": ""artistic or ceremonial object""}"
n04522168_251.JPEG,vase,presence_of_liquid_content = solid object without liquid,material_texture = glazed ceramic or stone,decorative_elements = decorated with patterns or sculptures,context_of_use = display or static setting,shape_complexity = complex shape with attachments,color_tone = uniform earthy/neutral tones,visible_steam_or_heat_effects = no steam or heat,presence_of_food_ingredients = no food ingredients,vessel_opening_type = narrow or decorative opening,functional_vs_artistic_purpose = artistic or ceremonial object,"{""presence_of_liquid_content"": ""solid object without liquid"", ""material_texture"": ""glazed ceramic or stone"", ""decorative_elements"": ""decorated with patterns or sculptures"", ""context_of_use"": ""display or static setting"", ""shape_complexity"": ""complex shape with attachments"", ""color_tone"": ""uniform earthy/neutral tones"", ""visible_steam_or_heat_effects"": ""no steam or heat"", ""presence_of_food_ingredients"": ""no food ingredients"", ""vessel_opening_type"": ""narrow or decorative opening"", ""functional_vs_artistic_purpose"": ""artistic or ceremonial object""}"
n04522168_256.JPEG,vase,presence_of_liquid_content = not visible,material_texture = glazed ceramic or stone,decorative_elements = decorated with patterns or sculptures,context_of_use = display or static setting,shape_complexity = complex shape with attachments,color_tone = uniform earthy/neutral tones,visible_steam_or_heat_effects = no steam or heat,presence_of_food_ingredients = no food ingredients,vessel_opening_type = narrow or decorative opening,functional_vs_artistic_purpose = artistic or ceremonial object,"{""presence_of_liquid_content"": ""not visible"", ""material_texture"": ""glazed ceramic or stone"", ""decorative_elements"": ""decorated with patterns or sculptures"", ""context_of_use"": ""display or static setting"", ""shape_complexity"": ""complex shape with attachments"", ""color_tone"": ""uniform earthy/neutral tones"", ""visible_steam_or_heat_effects"": ""no steam or heat"", ""presence_of_food_ingredients"": ""no food ingredients"", ""vessel_opening_type"": ""narrow or decorative opening"", ""functional_vs_artistic_purpose"": ""artistic or ceremonial object""}"
