File,Class,presence_of_liquid_content,material_texture,decorative_elements,context_of_use,shape_complexity,color_tone,visible_steam_or_heat_effects,presence_of_food_ingredients,vessel_opening_type,functional_vs_artistic_purpose,raw_llm_output
n07590611_1.JPEG,hotpot,presence_of_liquid_content = liquid with ingredients,material_texture = metal or cast iron with food residue,decorative_elements = plain or utilitarian,context_of_use = active cooking or food preparation,shape_complexity = simple open-top vessel,color_tone = varied colors from food,visible_steam_or_heat_effects = no steam or heat,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = functional cooking vessel,"{""presence_of_liquid_content"": ""liquid with ingredients"", ""material_texture"": ""metal or cast iron with food residue"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""active cooking or food preparation"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""no steam or heat"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""functional cooking vessel""}"
n07590611_13.JPEG,hotpot,presence_of_liquid_content = liquid with ingredients,material_texture = metal or cast iron with food residue,decorative_elements = plain or utilitarian,context_of_use = active cooking or food preparation,shape_complexity = simple open-top vessel,color_tone = varied colors from food,visible_steam_or_heat_effects = visible steam or heat,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = functional cooking vessel,"{""presence_of_liquid_content"": ""liquid with ingredients"", ""material_texture"": ""metal or cast iron with food residue"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""active cooking or food preparation"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""visible steam or heat"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""functional cooking vessel""}"
n07590611_133.JPEG,hotpot,presence_of_liquid_content = solid object without liquid,material_texture = metal or cast iron with food residue,decorative_elements = plain or utilitarian,context_of_use = active cooking or food preparation,shape_complexity = simple open-top vessel,color_tone = varied colors from food,visible_steam_or_heat_effects = no steam or heat,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = functional cooking vessel,"{""presence_of_liquid_content"": ""solid object without liquid"", ""material_texture"": ""metal or cast iron with food residue"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""active cooking or food preparation"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""no steam or heat"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""functional cooking vessel""}"
n07590611_151.JPEG,hotpot,presence_of_liquid_content = liquid with ingredients,material_texture = metal or cast iron with food residue,decorative_elements = plain or utilitarian,context_of_use = active cooking or food preparation,shape_complexity = simple open-top vessel,color_tone = varied colors from food,visible_steam_or_heat_effects = visible steam or heat,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = functional cooking vessel,"{""presence_of_liquid_content"": ""liquid with ingredients"", ""material_texture"": ""metal or cast iron with food residue"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""active cooking or food preparation"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""visible steam or heat"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""functional cooking vessel""}"
n07590611_158.JPEG,hotpot,presence_of_liquid_content = liquid with ingredients,material_texture = metal or cast iron with food residue,decorative_elements = plain or utilitarian,context_of_use = active cooking or food preparation,shape_complexity = simple open-top vessel,color_tone = varied colors from food,visible_steam_or_heat_effects = no steam or heat,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = functional cooking vessel,"{""presence_of_liquid_content"": ""liquid with ingredients"", ""material_texture"": ""metal or cast iron with food residue"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""active cooking or food preparation"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""no steam or heat"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""functional cooking vessel""}"
n07590611_182.JPEG,hotpot,presence_of_liquid_content = liquid with ingredients,material_texture = metal or cast iron with food residue,decorative_elements = plain or utilitarian,context_of_use = active cooking or food preparation,shape_complexity = simple open-top vessel,color_tone = varied colors from food,visible_steam_or_heat_effects = visible steam or heat,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = functional cooking vessel,"{""presence_of_liquid_content"": ""liquid with ingredients"", ""material_texture"": ""metal or cast iron with food residue"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""active cooking or food preparation"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""visible steam or heat"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""functional cooking vessel""}"
n07590611_183.JPEG,hotpot,presence_of_liquid_content = liquid with ingredients,material_texture = metal or cast iron with food residue,decorative_elements = plain or utilitarian,context_of_use = active cooking or food preparation,shape_complexity = simple open-top vessel,color_tone = varied colors from food,visible_steam_or_heat_effects = visible steam or heat,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = functional cooking vessel,"{""presence_of_liquid_content"": ""liquid with ingredients"", ""material_texture"": ""metal or cast iron with food residue"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""active cooking or food preparation"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""visible steam or heat"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""functional cooking vessel""}"
n07590611_219.JPEG,hotpot,presence_of_liquid_content = liquid with ingredients,material_texture = metal or cast iron with food residue,decorative_elements = plain or utilitarian,context_of_use = active cooking or food preparation,shape_complexity = simple open-top vessel,color_tone = varied colors from food,visible_steam_or_heat_effects = no steam or heat,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = functional cooking vessel,"{""presence_of_liquid_content"": ""liquid with ingredients"", ""material_texture"": ""metal or cast iron with food residue"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""active cooking or food preparation"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""no steam or heat"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""functional cooking vessel""}"
n07590611_322.JPEG,hotpot,presence_of_liquid_content = solid object without liquid,material_texture = metal or cast iron with food residue,decorative_elements = plain or utilitarian,context_of_use = active cooking or food preparation,shape_complexity = simple open-top vessel,color_tone = varied colors from food,visible_steam_or_heat_effects = no steam or heat,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = functional cooking vessel,"{""presence_of_liquid_content"": ""solid object without liquid"", ""material_texture"": ""metal or cast iron with food residue"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""active cooking or food preparation"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""no steam or heat"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""functional cooking vessel""}"
n07590611_365.JPEG,hotpot,presence_of_liquid_content = liquid with ingredients,material_texture = metal or cast iron with food residue,decorative_elements = plain or utilitarian,context_of_use = active cooking or food preparation,shape_complexity = simple open-top vessel,color_tone = varied colors from food,visible_steam_or_heat_effects = visible steam or heat,presence_of_food_ingredients = contains food ingredients,vessel_opening_type = wide open top,functional_vs_artistic_purpose = functional cooking vessel,"{""presence_of_liquid_content"": ""liquid with ingredients"", ""material_texture"": ""metal or cast iron with food residue"", ""decorative_elements"": ""plain or utilitarian"", ""context_of_use"": ""active cooking or food preparation"", ""shape_complexity"": ""simple open-top vessel"", ""color_tone"": ""varied colors from food"", ""visible_steam_or_heat_effects"": ""visible steam or heat"", ""presence_of_food_ingredients"": ""contains food ingredients"", ""vessel_opening_type"": ""wide open top"", ""functional_vs_artistic_purpose"": ""functional cooking vessel""}"
