File,Class,presence of personal experience or narrative,instructional or procedural content,use of technical or domain-specific terminology,presence of assumptions or theoretical framing,focus on problem-solving or troubleshooting,emotional or subjective language,description of experimental or controlled conditions,temporal framing or sequence of events,use of imperative mood,level of abstraction,raw_llm_output
text10.txt,advisory_texts,presence of personal experience or narrative = absent,instructional or procedural content = contains explicit instructions,use of technical or domain-specific terminology = technical terminology present,presence of assumptions or theoretical framing = no assumptions/theory stated,focus on problem-solving or troubleshooting = problem-solving focus,emotional or subjective language = emotional/subjective language absent,description of experimental or controlled conditions = no experimental/control conditions described,temporal framing or sequence of events = temporal sequence present,use of imperative mood = imperative mood used,level of abstraction = concrete/specific,"{""presence of personal experience or narrative"": ""absent"", ""instructional or procedural content"": ""contains explicit instructions"", ""use of technical or domain-specific terminology"": ""technical terminology present"", ""presence of assumptions or theoretical framing"": ""no assumptions/theory stated"", ""focus on problem-solving or troubleshooting"": ""problem-solving focus"", ""emotional or subjective language"": ""emotional/subjective language absent"", ""description of experimental or controlled conditions"": ""no experimental/control conditions described"", ""temporal framing or sequence of events"": ""temporal sequence present"", ""use of imperative mood"": ""imperative mood used"", ""level of abstraction"": ""concrete/specific""}"
text11.txt,advisory_texts,presence of personal experience or narrative = absent,instructional or procedural content = does not contain instructions,use of technical or domain-specific terminology = technical terminology present,presence of assumptions or theoretical framing = assumptions/theory stated,focus on problem-solving or troubleshooting = no problem-solving focus,emotional or subjective language = emotional/subjective language absent,description of experimental or controlled conditions = no experimental/control conditions described,temporal framing or sequence of events = no temporal sequence,use of imperative mood = imperative mood not used,level of abstraction = abstract/general,"{""presence of personal experience or narrative"": ""absent"", ""instructional or procedural content"": ""does not contain instructions"", ""use of technical or domain-specific terminology"": ""technical terminology present"", ""presence of assumptions or theoretical framing"": ""assumptions/theory stated"", ""focus on problem-solving or troubleshooting"": ""no problem-solving focus"", ""emotional or subjective language"": ""emotional/subjective language absent"", ""description of experimental or controlled conditions"": ""no experimental/control conditions described"", ""temporal framing or sequence of events"": ""no temporal sequence"", ""use of imperative mood"": ""imperative mood not used"", ""level of abstraction"": ""abstract/general""}"
text13.txt,advisory_texts,presence of personal experience or narrative = absent,instructional or procedural content = does not contain instructions,use of technical or domain-specific terminology = technical terminology present,presence of assumptions or theoretical framing = assumptions/theory stated,focus on problem-solving or troubleshooting = no problem-solving focus,emotional or subjective language = emotional/subjective language absent,description of experimental or controlled conditions = experimental/control conditions described,temporal framing or sequence of events = no temporal sequence,use of imperative mood = imperative mood not used,level of abstraction = abstract/general,"{""presence of personal experience or narrative"": ""absent"", ""instructional or procedural content"": ""does not contain instructions"", ""use of technical or domain-specific terminology"": ""technical terminology present"", ""presence of assumptions or theoretical framing"": ""assumptions/theory stated"", ""focus on problem-solving or troubleshooting"": ""no problem-solving focus"", ""emotional or subjective language"": ""emotional/subjective language absent"", ""description of experimental or controlled conditions"": ""experimental/control conditions described"", ""temporal framing or sequence of events"": ""no temporal sequence"", ""use of imperative mood"": ""imperative mood not used"", ""level of abstraction"": ""abstract/general""}"
text15.txt,advisory_texts,presence of personal experience or narrative = absent,instructional or procedural content = contains explicit instructions,use of technical or domain-specific terminology = technical terminology absent,presence of assumptions or theoretical framing = no assumptions/theory stated,focus on problem-solving or troubleshooting = problem-solving focus,emotional or subjective language = emotional/subjective language absent,description of experimental or controlled conditions = no experimental/control conditions described,temporal framing or sequence of events = no temporal sequence,use of imperative mood = imperative mood used,level of abstraction = concrete/specific,"{""presence of personal experience or narrative"": ""absent"", ""instructional or procedural content"": ""contains explicit instructions"", ""use of technical or domain-specific terminology"": ""technical terminology absent"", ""presence of assumptions or theoretical framing"": ""no assumptions/theory stated"", ""focus on problem-solving or troubleshooting"": ""problem-solving focus"", ""emotional or subjective language"": ""emotional/subjective language absent"", ""description of experimental or controlled conditions"": ""no experimental/control conditions described"", ""temporal framing or sequence of events"": ""no temporal sequence"", ""use of imperative mood"": ""imperative mood used"", ""level of abstraction"": ""concrete/specific""}"
text16.txt,advisory_texts,presence of personal experience or narrative = absent,instructional or procedural content = does not contain instructions,use of technical or domain-specific terminology = technical terminology present,presence of assumptions or theoretical framing = assumptions/theory stated,focus on problem-solving or troubleshooting = no problem-solving focus,emotional or subjective language = emotional/subjective language absent,description of experimental or controlled conditions = no experimental/control conditions described,temporal framing or sequence of events = no temporal sequence,use of imperative mood = imperative mood not used,level of abstraction = abstract/general,"{""presence of personal experience or narrative"": ""absent"", ""instructional or procedural content"": ""does not contain instructions"", ""use of technical or domain-specific terminology"": ""technical terminology present"", ""presence of assumptions or theoretical framing"": ""assumptions/theory stated"", ""focus on problem-solving or troubleshooting"": ""no problem-solving focus"", ""emotional or subjective language"": ""emotional/subjective language absent"", ""description of experimental or controlled conditions"": ""no experimental/control conditions described"", ""temporal framing or sequence of events"": ""no temporal sequence"", ""use of imperative mood"": ""imperative mood not used"", ""level of abstraction"": ""abstract/general""}"
text18.txt,advisory_texts,presence of personal experience or narrative = absent,instructional or procedural content = does not contain instructions,use of technical or domain-specific terminology = technical terminology present,presence of assumptions or theoretical framing = no assumptions/theory stated,focus on problem-solving or troubleshooting = no problem-solving focus,emotional or subjective language = emotional/subjective language absent,description of experimental or controlled conditions = no experimental/control conditions described,temporal framing or sequence of events = no temporal sequence,use of imperative mood = imperative mood not used,level of abstraction = concrete/specific,"{""presence of personal experience or narrative"": ""absent"", ""instructional or procedural content"": ""does not contain instructions"", ""use of technical or domain-specific terminology"": ""technical terminology present"", ""presence of assumptions or theoretical framing"": ""no assumptions/theory stated"", ""focus on problem-solving or troubleshooting"": ""no problem-solving focus"", ""emotional or subjective language"": ""emotional/subjective language absent"", ""description of experimental or controlled conditions"": ""no experimental/control conditions described"", ""temporal framing or sequence of events"": ""no temporal sequence"", ""use of imperative mood"": ""imperative mood not used"", ""level of abstraction"": ""concrete/specific""}"
text2.txt,advisory_texts,presence of personal experience or narrative = absent,instructional or procedural content = contains explicit instructions,use of technical or domain-specific terminology = technical terminology present,presence of assumptions or theoretical framing = no assumptions/theory stated,focus on problem-solving or troubleshooting = no problem-solving focus,emotional or subjective language = emotional/subjective language absent,description of experimental or controlled conditions = no experimental/control conditions described,temporal framing or sequence of events = temporal sequence present,use of imperative mood = imperative mood used,level of abstraction = concrete/specific,"{""presence of personal experience or narrative"": ""absent"", ""instructional or procedural content"": ""contains explicit instructions"", ""use of technical or domain-specific terminology"": ""technical terminology present"", ""presence of assumptions or theoretical framing"": ""no assumptions/theory stated"", ""focus on problem-solving or troubleshooting"": ""no problem-solving focus"", ""emotional or subjective language"": ""emotional/subjective language absent"", ""description of experimental or controlled conditions"": ""no experimental/control conditions described"", ""temporal framing or sequence of events"": ""temporal sequence present"", ""use of imperative mood"": ""imperative mood used"", ""level of abstraction"": ""concrete/specific""}"
text20.txt,advisory_texts,presence of personal experience or narrative = absent,instructional or procedural content = contains explicit instructions,use of technical or domain-specific terminology = technical terminology present,presence of assumptions or theoretical framing = no assumptions/theory stated,focus on problem-solving or troubleshooting = no problem-solving focus,emotional or subjective language = emotional/subjective language absent,description of experimental or controlled conditions = experimental/control conditions described,temporal framing or sequence of events = temporal sequence present,use of imperative mood = imperative mood used,level of abstraction = concrete/specific,"{""presence of personal experience or narrative"": ""absent"", ""instructional or procedural content"": ""contains explicit instructions"", ""use of technical or domain-specific terminology"": ""technical terminology present"", ""presence of assumptions or theoretical framing"": ""no assumptions/theory stated"", ""focus on problem-solving or troubleshooting"": ""no problem-solving focus"", ""emotional or subjective language"": ""emotional/subjective language absent"", ""description of experimental or controlled conditions"": ""experimental/control conditions described"", ""temporal framing or sequence of events"": ""temporal sequence present"", ""use of imperative mood"": ""imperative mood used"", ""level of abstraction"": ""concrete/specific""}"
text4.txt,advisory_texts,presence of personal experience or narrative = absent,instructional or procedural content = contains explicit instructions,use of technical or domain-specific terminology = technical terminology present,presence of assumptions or theoretical framing = no assumptions/theory stated,focus on problem-solving or troubleshooting = problem-solving focus,emotional or subjective language = emotional/subjective language absent,description of experimental or controlled conditions = no experimental/control conditions described,temporal framing or sequence of events = temporal sequence present,use of imperative mood = imperative mood used,level of abstraction = concrete/specific,"{""presence of personal experience or narrative"": ""absent"", ""instructional or procedural content"": ""contains explicit instructions"", ""use of technical or domain-specific terminology"": ""technical terminology present"", ""presence of assumptions or theoretical framing"": ""no assumptions/theory stated"", ""focus on problem-solving or troubleshooting"": ""problem-solving focus"", ""emotional or subjective language"": ""emotional/subjective language absent"", ""description of experimental or controlled conditions"": ""no experimental/control conditions described"", ""temporal framing or sequence of events"": ""temporal sequence present"", ""use of imperative mood"": ""imperative mood used"", ""level of abstraction"": ""concrete/specific""}"
text6.txt,advisory_texts,presence of personal experience or narrative = absent,instructional or procedural content = does not contain instructions,use of technical or domain-specific terminology = technical terminology present,presence of assumptions or theoretical framing = no assumptions/theory stated,focus on problem-solving or troubleshooting = no problem-solving focus,emotional or subjective language = emotional/subjective language absent,description of experimental or controlled conditions = experimental/control conditions described,temporal framing or sequence of events = no temporal sequence,use of imperative mood = imperative mood not used,level of abstraction = concrete/specific,"{""presence of personal experience or narrative"": ""absent"", ""instructional or procedural content"": ""does not contain instructions"", ""use of technical or domain-specific terminology"": ""technical terminology present"", ""presence of assumptions or theoretical framing"": ""no assumptions/theory stated"", ""focus on problem-solving or troubleshooting"": ""no problem-solving focus"", ""emotional or subjective language"": ""emotional/subjective language absent"", ""description of experimental or controlled conditions"": ""experimental/control conditions described"", ""temporal framing or sequence of events"": ""no temporal sequence"", ""use of imperative mood"": ""imperative mood not used"", ""level of abstraction"": ""concrete/specific""}"
